FECHA,N1,N2,N3,N4,N5,N6,NC
22/06/2017,01,02,23,25,37,49,40
21/06/2017,06,11,18,34,40,41,39
20/06/2017,02,16,21,23,25,26,18
19/06/2017,02,11,19,29,35,49,37
17/06/2017,11,16,27,28,32,41,44
16/06/2017,16,21,31,33,39,42,12
15/06/2017,13,14,23,26,40,46,10
14/06/2017,02,03,12,37,43,47,30
13/06/2017,05,08,10,41,46,48,37
12/06/2017,04,05,24,41,42,45,07
10/06/2017,06,13,24,29,41,49,30
9/06/2017,09,28,37,39,41,45,31
8/06/2017,01,08,12,15,21,37,26
7/06/2017,02,05,13,16,31,35,33
6/06/2017,04,11,16,33,36,47,14
5/06/2017,06,08,18,33,45,49,44
3/06/2017,03,26,32,43,44,48,24
2/06/2017,08,19,23,31,39,43,13
1/06/2017,13,28,30,34,37,42,41
31/05/2017,19,23,24,26,27,34,18
30/05/2017,06,10,12,22,45,47,13
29/05/2017,05,06,11,12,40,48,39
27/05/2017,02,04,20,24,29,45,30
26/05/2017,02,06,13,29,31,36,20
25/05/2017,01,13,15,25,36,45,02
24/05/2017,03,11,12,14,29,33,30
23/05/2017,01,23,28,41,48,49,13
22/05/2017,01,07,14,15,20,24,42
20/05/2017,02,26,29,32,39,42,01
19/05/2017,05,12,24,26,42,46,43
18/05/2017,12,21,37,40,41,46,16
17/05/2017,03,04,10,11,42,46,49
16/05/2017,09,15,27,36,42,49,37
15/05/2017,06,08,21,25,29,37,32
13/05/2017,14,16,17,24,32,38,28
12/05/2017,05,13,20,26,42,44,22
11/05/2017,05,23,24,36,43,49,17
10/05/2017,01,02,33,40,42,49,36
9/05/2017,20,21,24,37,38,41,26
8/05/2017,01,12,22,37,39,42,06
6/05/2017,01,07,18,25,35,48,05
5/05/2017,05,10,13,17,33,40,47
4/05/2017,05,07,10,23,36,41,22
3/05/2017,13,25,27,33,34,38,19
2/05/2017,02,17,25,27,35,43,37
1/05/2017,09,12,15,19,38,46,04
29/04/2017,10,19,22,24,43,44,23
28/04/2017,05,09,15,17,21,47,20
27/04/2017,11,40,42,45,46,49,27
26/04/2017,12,14,20,34,39,40,27
25/04/2017,05,09,12,13,39,41,45
24/04/2017,16,22,25,31,38,48,46
22/04/2017,12,35,37,41,47,48,17
21/04/2017,02,05,09,16,37,40,10
20/04/2017,22,23,30,38,45,49,46
19/04/2017,01,04,06,19,21,47,43
18/04/2017,17,23,29,37,47,48,09
17/04/2017,11,14,19,37,38,43,10
15/04/2017,02,09,16,32,40,47,48
14/04/2017,06,10,15,21,26,49,39
13/04/2017,03,22,25,39,40,47,38
12/04/2017,08,12,29,31,40,48,10
11/04/2017,01,07,10,15,17,34,05
10/04/2017,05,07,16,18,24,25,19
8/04/2017,10,29,36,43,45,49,48
7/04/2017,06,09,13,27,34,48,21
6/04/2017,03,06,14,17,35,49,32
5/04/2017,09,10,11,21,33,35,17
4/04/2017,03,07,08,10,26,49,04
3/04/2017,04,08,15,23,34,35,25
1/04/2017,01,03,13,21,22,28,09
31/03/2017,14,15,16,19,28,43,21
30/03/2017,10,11,12,14,18,27,13
29/03/2017,09,14,15,27,28,31,35
28/03/2017,05,11,14,32,41,44,25
27/03/2017,13,14,16,28,30,40,33
25/03/2017,07,18,25,37,40,45,34
24/03/2017,04,07,11,26,28,39,17
23/03/2017,12,16,17,18,39,40,23
22/03/2017,14,18,24,30,34,49,20
21/03/2017,01,12,13,16,19,24,04
20/03/2017,13,15,18,21,22,26,40
18/03/2017,01,07,14,38,42,48,32
