,FECHA,N1,N2,N3,N4,N5,N6,NC,R,draw,success,comp
1089,2015-09-17,1,21,23,37,44,46,41,9.0,1_21_23_37_41_44,5.0,True
66,2018-12-24,7,18,19,28,37,44,23,6.0,7_19_24_28_37_44,5.0,False
106,2018-11-07,7,11,14,28,46,47,10,8.0,7_11_17_28_46_47,5.0,False
228,2018-06-18,13,21,23,24,25,41,38,5.0,13_19_23_24_25_41,5.0,False
242,2018-06-01,1,5,11,19,33,36,49,1.0,5_11_19_33_36_37,5.0,False
474,2017-09-04,3,24,32,35,43,48,2,5.0,3_24_35_36_43_48,5.0,False
476,2017-09-01,23,33,34,36,38,39,40,6.0,23_27_33_34_36_39,5.0,False
1126,2015-08-05,5,7,25,35,40,47,18,6.0,5_7_25_35_36_47,5.0,False
1360,2014-08-27,11,19,25,35,43,48,17,4.0,11_15_19_25_35_43,5.0,False
1621,2013-05-28,11,21,24,28,43,44,38,6.0,11_21_24_43_44_49,5.0,False
1709,2012-12-25,13,24,29,39,46,49,27,7.0,8_13_24_39_46_49,5.0,False
1791,2012-08-03,1,5,19,38,39,44,36,0.0,1_5_15_19_38_39,5.0,False
1875,2012-03-09,24,29,38,39,44,47,31,6.0,24_38_39_41_44_47,5.0,False
2357,2009-11-17,15,25,28,30,37,41,4,7.0,15_25_28_37_39_41,5.0,False
2406,2009-08-24,3,7,11,34,38,45,36,7.0,3_7_11_34_35_38,5.0,False
2874,2007-05-28,20,23,25,26,29,36,16,2.0,3_23_25_26_29_36,5.0,False
3185,2005-11-29,1,3,9,18,21,40,10,6.0,1_3_18_21_29_40,5.0,False
3268,2005-07-06,3,11,18,19,23,44,31,7.0,3_18_19_23_34_44,5.0,False
3289,2005-05-31,7,25,35,41,44,48,40,0.0,25_26_35_41_44_48,5.0,False
3610,2003-11-17,1,3,18,21,40,45,7,8.0,1_3_18_21_29_40,5.0,False
3613,2003-11-11,8,15,23,32,34,41,1,0.0,8_15_23_32_40_41,5.0,False
4024,2001-11-21,15,24,33,37,45,46,42,2.0,15_24_27_33_45_46,5.0,False
4228,2000-11-29,5,14,17,39,40,44,16,5.0,5_17_23_39_40_44,5.0,False
4579,1999-03-26,3,7,13,15,37,40,5,8.0,3_7_13_23_37_40,5.0,False
4945,1997-06-24,3,8,23,27,46,48,5,4.0,3_11_23_27_46_48,5.0,False
4998,1997-03-24,11,18,21,36,47,48,7,7.0,8_11_18_21_47_48,5.0,False
5104,1996-09-18,1,3,11,26,27,38,14,3.0,1_11_26_27_33_38,5.0,False
5198,1996-04-08,7,13,19,33,34,47,35,5.0,7_13_19_27_34_47,5.0,False
5316,1995-09-13,17,18,21,32,39,44,34,1.0,17_18_21_32_35_44,5.0,False
5373,1995-06-06,11,20,26,34,37,39,42,0.0,11_13_26_34_37_39,5.0,False
5405,1995-04-11,19,21,23,27,29,40,5,8.0,19_21_23_27_28_40,5.0,False
5419,1995-03-17,5,21,23,24,37,39,7,6.0,5_21_24_27_37_39,5.0,False
5621,1994-03-29,7,18,23,24,38,43,34,6.0,7_13_18_24_38_43,5.0,False
5758,1993-08-02,4,28,29,36,37,38,32,6.0,28_29_36_37_38_42,5.0,False
5827,1993-03-31,3,8,10,18,24,37,21,,3_8_18_24_37_41,5.0,False
5849,1993-02-22,5,18,19,24,27,29,9,,18_19_24_27_29_49,5.0,False
6141,1991-09-30,4,21,34,38,43,45,49,,21_34_38_39_43_45,5.0,False
6215,1991-05-22,17,19,25,27,35,38,9,,17_19_27_35_36_38,5.0,False
6231,1991-04-24,10,18,19,24,27,29,42,,18_19_24_27_29_49,5.0,False
6299,1990-12-26,11,18,27,28,32,33,7,,18_27_28_32_33_37,5.0,False
109,2018-11-03,18,33,39,41,45,49,40,7.0,18_36_39_40_41_45,4.0,True
155,2018-09-11,8,27,30,36,39,45,42,9.0,8_27_36_42_45_49,4.0,True
349,2018-01-27,2,13,27,34,41,46,1,4.0,1_3_13_34_41_46,4.0,True
570,2017-05-15,6,8,21,25,29,37,32,0.0,8_21_25_32_37_42,4.0,True
649,2017-02-11,23,26,28,34,37,46,32,6.0,7_23_26_28_32_34,4.0,True
661,2017-01-28,3,5,17,19,30,32,25,2.0,5_17_19_25_26_32,4.0,True
1090,2015-09-16,1,8,28,34,35,36,43,3.0,8_18_28_34_36_43,4.0,True
1473,2014-02-11,23,24,30,32,37,46,38,2.0,11_24_32_37_38_46,4.0,True
1522,2013-11-18,27,28,35,41,42,48,47,0.0,27_35_37_41_42_47,4.0,True
1554,2013-09-23,11,28,30,35,39,48,13,8.0,13_28_32_35_39_48,4.0,True
1997,2011-08-09,7,19,20,24,44,45,37,1.0,7_19_24_28_37_44,4.0,True
2032,2011-06-08,8,19,33,34,41,45,47,9.0,8_26_34_41_45_47,4.0,True
2035,2011-06-03,19,30,32,39,45,48,11,2.0,11_19_27_32_39_45,4.0,True
2041,2011-05-24,13,19,21,27,30,47,34,2.0,7_13_19_27_34_47,4.0,True
2090,2011-02-28,3,32,34,36,47,49,38,0.0,3_18_32_36_38_49,4.0,True
2221,2010-07-13,4,8,37,38,40,46,1,2.0,1_8_28_37_40_46,4.0,True
2238,2010-06-14,3,13,23,25,48,49,17,0.0,3_17_25_40_48_49,4.0,True
2344,2009-12-09,8,15,22,27,38,41,34,6.0,8_15_27_34_37_38,4.0,True
2477,2009-04-21,5,8,21,24,34,41,28,2.0,5_8_17_21_28_41,4.0,True
2533,2009-01-13,13,19,23,29,37,45,27,5.0,23_27_29_37_43_45,4.0,True
2593,2008-09-30,2,17,26,32,35,39,3,5.0,1_3_17_26_35_39,4.0,True
2595,2008-09-26,1,8,16,19,22,34,24,8.0,1_8_19_21_24_34,4.0,True
2810,2007-09-17,6,13,19,39,40,49,1,4.0,1_13_19_40_44_49,4.0,True
2951,2007-01-12,9,18,21,33,36,41,46,3.0,21_33_36_38_41_46,4.0,True
2986,2006-11-13,10,19,21,23,28,37,27,5.0,19_21_23_27_28_40,4.0,True
3182,2005-12-05,1,3,22,25,41,46,34,9.0,1_3_13_34_41_46,4.0,True
3226,2005-09-19,13,18,35,37,38,46,19,2.0,13_18_19_21_37_46,4.0,True
3296,2005-05-18,1,8,23,28,29,35,15,0.0,15_23_28_29_35_47,4.0,True
3420,2004-10-13,7,27,36,47,48,49,24,0.0,7_15_24_47_48_49,4.0,True
3754,2003-03-10,5,13,19,44,46,49,40,5.0,1_13_19_40_44_49,4.0,True
3892,2002-07-10,5,18,19,29,38,46,45,8.0,5_8_18_38_45_46,4.0,True
4095,2001-07-20,3,6,18,33,41,47,32,3.0,3_25_32_33_41_47,4.0,True
4114,2001-06-18,18,24,26,39,41,45,40,7.0,18_36_39_40_41_45,4.0,True
4250,2000-10-23,3,6,16,21,27,35,8,4.0,3_8_21_27_33_35,4.0,True
4359,2000-04-14,1,7,27,28,37,49,18,7.0,1_7_18_34_37_49,4.0,True
4401,2000-02-01,2,5,13,27,35,45,1,1.0,1_5_27_35_45_48,4.0,True
4444,1999-11-17,5,8,9,28,35,49,26,7.0,8_11_26_28_35_49,4.0,True
4563,1999-04-23,21,23,24,27,39,44,37,8.0,5_21_24_27_37_39,4.0,True
4567,1999-04-16,4,17,19,27,38,45,36,7.0,17_19_27_35_36_38,4.0,True
4621,1999-01-12,3,8,9,11,34,38,35,6.0,3_7_11_34_35_38,4.0,True
4622,1999-01-11,5,17,23,29,36,44,40,0.0,5_17_23_39_40_44,4.0,True
4646,1998-11-30,13,14,18,21,32,35,44,5.0,17_18_21_32_35_44,4.0,True
4793,1998-03-17,22,24,31,32,38,46,37,6.0,11_24_32_37_38_46,4.0,True
4927,1997-07-25,5,12,28,39,42,47,40,8.0,28_39_40_42_47_49,4.0,True
5047,1996-12-27,7,9,21,38,41,46,33,7.0,21_33_36_38_41_46,4.0,True
5059,1996-12-06,3,10,13,24,34,42,27,0.0,3_24_27_32_34_42,4.0,True
5490,1994-11-14,3,11,28,32,42,44,40,2.0,3_11_15_28_40_44,4.0,True
5581,1994-06-07,5,25,29,34,38,43,42,5.0,5_25_27_38_42_43,4.0,True
5606,1994-04-25,28,32,43,46,48,49,41,4.0,28_32_41_42_43_46,4.0,True
5618,1994-04-04,5,25,37,42,45,47,13,8.0,5_13_25_37_45_49,4.0,True
5767,1993-07-16,4,19,27,39,40,43,48,9.0,8_27_39_40_43_48,4.0,True
6132,1991-10-15,13,18,28,36,38,49,3,,3_18_32_36_38_49,4.0,True
6147,1991-09-18,23,33,36,40,43,48,46,,23_33_40_43_46_49,4.0,True
6313,1990-12-03,33,36,38,41,42,43,46,,21_33_36_38_41_46,4.0,True
6323,1990-11-14,7,16,24,39,40,41,27,,1_7_24_27_40_41,4.0,True
6331,1990-10-31,21,22,34,35,37,47,28,,3_21_28_34_37_47,4.0,True
6410,1990-06-17,14,17,25,26,32,39,19,,5_17_19_25_26_32,4.0,True
6495,1990-01-17,3,25,27,36,37,44,40,,25_36_37_40_43_44,4.0,True
6715,1988-12-21,1,22,34,36,37,45,32,,32_34_36_37_45_48,4.0,True
2,2019-03-08,5,9,28,32,35,38,23,9.0,5_28_33_35_38_44,4.0,False
8,2019-03-01,3,6,15,40,41,44,36,8.0,3_11_15_28_40_44,4.0,False
14,2019-02-22,2,14,17,18,32,44,30,3.0,17_18_21_32_35_44,4.0,False
22,2019-02-13,28,38,39,40,48,49,13,1.0,28_39_40_42_47_49,4.0,False
27,2019-02-07,1,11,15,17,38,39,2,4.0,1_5_15_19_38_39,4.0,False
29,2019-02-05,1,19,26,38,40,44,10,7.0,1_13_19_40_44_49,4.0,False
35,2019-01-29,5,18,22,39,41,45,31,1.0,18_36_39_40_41_45,4.0,False
36,2019-01-28,1,2,7,17,19,46,47,7.0,1_7_19_23_29_46,4.0,False
41,2019-01-22,18,23,35,44,45,47,27,8.0,13_35_44_45_46_47,4.0,False
42,2019-01-21,1,8,10,15,41,49,39,6.0,1_8_25_29_41_49,4.0,False
52,2019-01-09,13,14,19,34,46,49,42,6.0,19_25_28_34_46_49,4.0,False
56,2019-01-04,6,8,23,28,43,48,12,6.0,8_23_28_44_45_48,4.0,False
65,2018-12-25,1,3,13,35,45,46,17,1.0,1_3_13_34_41_46,4.0,False
65,2018-12-25,1,3,13,35,45,46,17,1.0,13_35_44_45_46_47,4.0,False
67,2018-12-22,1,17,23,27,35,36,15,2.0,17_19_27_35_36_38,4.0,False
70,2018-12-19,8,20,28,37,40,45,6,9.0,1_8_28_37_40_46,4.0,False
71,2018-12-18,1,27,32,34,37,42,16,2.0,3_24_27_32_34_42,4.0,False
73,2018-12-15,1,5,17,23,33,39,36,7.0,5_17_23_39_40_44,4.0,False
74,2018-12-14,1,17,25,27,43,45,7,4.0,1_15_17_27_32_43,4.0,False
77,2018-12-11,7,18,20,21,33,37,45,9.0,7_15_21_33_37_43,4.0,False
80,2018-12-07,7,19,29,34,39,41,4,1.0,19_29_34_37_40_41,4.0,False
82,2018-12-05,6,14,28,29,36,37,48,4.0,28_29_36_37_38_42,4.0,False
84,2018-12-03,5,17,19,22,25,46,38,7.0,5_17_19_25_26_32,4.0,False
92,2018-11-23,8,11,25,26,33,44,1,6.0,8_13_15_25_26_33,4.0,False
102,2018-11-12,5,13,18,27,36,46,4,8.0,5_13_27_32_36_41,4.0,False
109,2018-11-03,18,33,39,41,45,49,40,7.0,11_18_25_33_39_49,4.0,False
111,2018-11-01,4,16,24,35,42,44,30,2.0,8_15_24_35_42_44,4.0,False
113,2018-10-30,4,11,29,41,46,47,48,1.0,5_11_29_39_41_46,4.0,False
119,2018-10-23,3,17,20,21,36,44,26,0.0,3_13_21_36_39_44,4.0,False
125,2018-10-16,4,5,26,28,34,43,6,3.0,5_26_28_37_43_48,4.0,False
127,2018-10-13,3,23,24,43,45,46,22,6.0,3_7_25_43_45_46,4.0,False
