,FECHA,N1,N2,N3,N4,N5,N6,NC,draw,success,comp
431,2015-09-17,1,21,23,37,44,46,41,,5,True
468,2015-05-08,5,7,25,35,40,47,18,,5,False
702,2014-08-27,11,19,25,35,43,48,17,,5,False
963,2013-05-28,11,21,24,28,43,44,38,,5,False
1051,2012-12-25,13,24,29,39,46,49,27,,5,False
1217,2012-09-03,24,29,38,39,44,47,31,,5,False
1133,2012-03-08,1,5,19,38,39,44,36,,5,False
1699,2009-11-17,15,25,28,30,37,41,4,,5,False
1748,2009-08-24,3,7,11,34,38,45,36,,5,False
2216,2007-05-28,20,23,25,26,29,36,16,,5,False
2527,2005-11-29,1,3,9,18,21,40,10,,5,False
2610,2005-06-07,3,11,18,19,23,44,31,,5,False
2631,2005-05-31,7,25,35,41,44,48,40,,5,False
2952,2003-11-17,1,3,18,21,40,45,7,,5,False
2955,2003-11-11,8,15,23,32,34,41,1,,5,False
3366,2001-11-21,15,24,33,37,45,46,42,,5,False
3570,2000-11-29,5,14,17,39,40,44,16,,5,False
3921,1999-03-26,3,7,13,15,37,40,5,,5,False
4287,1997-06-24,3,8,23,27,46,48,5,,5,False
4340,1997-03-24,11,18,21,36,47,48,7,,5,False
4446,1996-09-18,1,3,11,26,27,38,14,,5,False
4540,1996-08-04,7,13,19,33,34,47,35,,5,False
4747,1995-11-04,19,21,23,27,29,40,5,,5,False
4658,1995-09-13,17,18,21,32,39,44,34,,5,False
4715,1995-06-06,11,20,26,34,37,39,42,,5,False
4761,1995-03-17,5,21,23,24,37,39,7,,5,False
4963,1994-03-29,7,18,23,24,38,43,34,,5,False
5169,1993-03-31,3,8,10,18,24,37,21,,5,False
5191,1993-02-22,5,18,19,24,27,29,9,,5,False
5100,1993-02-08,4,28,29,36,37,38,32,,5,False
5483,1991-09-30,4,21,34,38,43,45,49,,5,False
5557,1991-05-22,17,19,25,27,35,38,9,,5,False
5573,1991-04-24,10,18,19,24,27,29,42,,5,False
5641,1990-12-26,11,18,27,28,32,33,7,,5,False
3,2017-01-28,3,5,17,19,30,32,25,,4,True
432,2015-09-16,1,8,28,34,35,36,43,,4,True
815,2014-11-02,23,24,30,32,37,46,38,,4,True
864,2013-11-18,27,28,35,41,42,48,47,,4,True
896,2013-09-23,11,28,30,35,39,48,13,,4,True
1339,2011-09-08,7,19,20,24,44,45,37,,4,True
1374,2011-08-06,8,19,33,34,41,45,47,,4,True
1383,2011-05-24,13,19,21,27,30,47,34,,4,True
1377,2011-03-06,19,30,32,39,45,48,11,,4,True
1432,2011-02-28,3,32,34,36,47,49,38,,4,True
1563,2010-07-13,4,8,37,38,40,46,1,,4,True
1580,2010-06-14,3,13,23,25,48,49,17,,4,True
1686,2009-09-12,8,15,22,27,38,41,34,,4,True
1819,2009-04-21,5,8,21,24,34,41,28,,4,True
1875,2009-01-13,13,19,23,29,37,45,27,,4,True
1935,2008-09-30,2,17,26,32,35,39,3,,4,True
1937,2008-09-26,1,8,16,19,22,34,24,,4,True
2293,2007-12-01,9,18,21,33,36,41,46,,4,True
2152,2007-09-17,6,13,19,39,40,49,1,,4,True
2328,2006-11-13,10,19,21,23,28,37,27,,4,True
2568,2005-09-19,13,18,35,37,38,46,19,,4,True
2638,2005-05-18,1,8,23,28,29,35,15,,4,True
2524,2005-05-12,1,3,22,25,41,46,34,,4,True
2762,2004-10-13,7,27,36,47,48,49,24,,4,True
