,DATE,N1,N2,N3,N4,N5,N6,NC,R,draw,max_success,comp
7064,1/06/1993,2.0,17.0,18.0,24.0,32.0,40.0,3.0,1.0,2-17-18-24-32-40,6.0,0.0
146,8/12/2022,2.0,6.0,12.0,17.0,24.0,40.0,15.0,4.0,2-12-15-17-24-40,5.0,1.0
1837,19/05/2017,5.0,12.0,24.0,26.0,42.0,46.0,43.0,6.0,5-12-24-26-42-43,5.0,1.0
7489,19/05/1991,14.0,15.0,17.0,24.0,37.0,43.0,32.0,0.0,14-15-17-24-32-43,5.0,1.0
3580,9/02/2010,2.0,5.0,14.0,15.0,27.0,32.0,3.0,0.0,2-5-14-15-18-32,5.0,0.0
2342,8/10/2015,1.0,2.0,5.0,12.0,17.0,43.0,7.0,6.0,2-5-12-17-40-43,5.0,0.0
3459,8/09/2010,2.0,5.0,14.0,21.0,42.0,43.0,34.0,2.0,2-5-14-26-42-43,5.0,0.0
1011,8/01/2020,11.0,14.0,17.0,24.0,26.0,43.0,32.0,9.0,14-17-18-24-26-43,5.0,0.0
3408,7/12/2010,5.0,14.0,15.0,17.0,40.0,47.0,21.0,1.0,5-14-15-17-24-40,5.0,0.0
2422,7/07/2015,2.0,12.0,14.0,26.0,33.0,42.0,29.0,2.0,2-12-14-24-26-42,5.0,0.0
7287,5/05/1992,12.0,18.0,30.0,40.0,42.0,43.0,22.0,0.0,12-17-18-40-42-43,5.0,0.0
4592,5/04/2005,2.0,5.0,15.0,21.0,24.0,32.0,37.0,9.0,2-5-15-24-32-43,5.0,0.0
4592,5/04/2005,2.0,5.0,15.0,21.0,24.0,32.0,37.0,9.0,2-5-15-17-24-32,5.0,0.0
8140,28/03/1988,2.0,12.0,15.0,17.0,23.0,42.0,27.0,0.0,2-12-15-17-26-42,5.0,0.0
968,27/02/2020,12.0,17.0,18.0,24.0,27.0,43.0,38.0,4.0,12-17-18-24-42-43,5.0,0.0
968,27/02/2020,12.0,17.0,18.0,24.0,27.0,43.0,38.0,4.0,2-12-17-18-24-43,5.0,0.0
6737,26/12/1994,3.0,14.0,17.0,26.0,42.0,43.0,28.0,5.0,12-14-17-26-42-43,5.0,0.0
5573,24/07/2000,6.0,15.0,24.0,32.0,40.0,42.0,29.0,7.0,15-17-24-32-40-42,5.0,0.0
4406,24/02/2006,5.0,17.0,18.0,26.0,32.0,36.0,43.0,7.0,5-17-18-24-26-32,5.0,0.0
2704,22/04/2014,14.0,15.0,17.0,18.0,20.0,32.0,35.0,3.0,14-15-17-18-24-32,5.0,0.0
1285,22/02/2019,2.0,14.0,17.0,18.0,32.0,44.0,30.0,3.0,2-14-17-18-26-32,5.0,0.0
2843,21/08/2013,1.0,5.0,12.0,14.0,24.0,42.0,31.0,3.0,5-12-14-18-24-42,5.0,0.0
2295,2/12/2015,5.0,12.0,14.0,17.0,24.0,43.0,7.0,2.0,12-14-17-24-40-43,5.0,0.0
2295,2/12/2015,5.0,12.0,14.0,17.0,24.0,43.0,7.0,2.0,5-12-17-24-32-43,5.0,0.0
2295,2/12/2015,5.0,12.0,14.0,17.0,24.0,43.0,7.0,2.0,5-12-14-18-24-43,5.0,0.0
2295,2/12/2015,5.0,12.0,14.0,17.0,24.0,43.0,7.0,2.0,5-12-14-15-17-43,5.0,0.0
2295,2/12/2015,5.0,12.0,14.0,17.0,24.0,43.0,7.0,2.0,5-12-14-17-24-26,5.0,0.0
2295,2/12/2015,5.0,12.0,14.0,17.0,24.0,43.0,7.0,2.0,2-5-14-17-24-43,5.0,0.0
7131,2/02/1993,17.0,18.0,32.0,37.0,40.0,43.0,15.0,0.0,17-18-24-32-40-43,5.0,0.0
1837,19/05/2017,5.0,12.0,24.0,26.0,42.0,46.0,43.0,6.0,5-12-24-26-32-42,5.0,0.0
7019,18/08/1993,7.0,12.0,18.0,24.0,32.0,40.0,39.0,6.0,12-15-18-24-32-40,5.0,0.0
4272,17/10/2006,12.0,18.0,26.0,32.0,39.0,43.0,17.0,3.0,12-18-26-32-42-43,5.0,0.0
4272,17/10/2006,12.0,18.0,26.0,32.0,39.0,43.0,17.0,3.0,2-12-18-26-32-43,5.0,0.0
6360,15/10/1996,5.0,14.0,18.0,26.0,32.0,41.0,11.0,4.0,5-14-18-26-32-42,5.0,0.0
2658,11/07/2014,12.0,15.0,18.0,19.0,24.0,42.0,6.0,4.0,12-15-18-24-26-42,5.0,0.0
2884,11/06/2013,11.0,15.0,24.0,26.0,32.0,42.0,6.0,4.0,14-15-24-26-32-42,5.0,0.0
3476,10/08/2010,14.0,17.0,24.0,26.0,34.0,40.0,1.0,7.0,14-17-24-26-32-40,5.0,0.0
4329,10/07/2006,12.0,14.0,17.0,40.0,43.0,47.0,49.0,2.0,12-14-17-24-40-43,5.0,0.0
4832,10/02/2004,1.0,12.0,15.0,26.0,32.0,40.0,18.0,8.0,12-15-26-32-40-42,5.0,0.0
6855,1/06/1994,5.0,24.0,30.0,32.0,42.0,43.0,33.0,1.0,5-18-24-32-42-43,5.0,0.0
7064,1/06/1993,2.0,17.0,18.0,24.0,32.0,40.0,3.0,1.0,17-18-24-32-40-43,5.0,0.0
6455,1/05/1996,5.0,10.0,12.0,15.0,26.0,40.0,36.0,6.0,5-12-15-17-26-40,5.0,0.0
